date,week_start,host_name,lang,page_path,page_title,channel_group,device_category,screen_page_views,active_users,sessions,engagement_rate,bounce_rate,avg_engagement_seconds,key_events,total_revenue,pulled_at
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,382,356,402,0.0124,0.9876,7.72,0,0.0,2026-09-03 04:48:11
2026-08-31,2026-08-31,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,330,246,273,0.8462,0.1538,26.22,0,0.0,2026-09-03 04:48:11
2026-09-01,2026-08-31,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,292,235,263,0.8441,0.1559,18.77,0,0.0,2026-09-03 04:48:11
2026-08-31,2026-08-31,www.seeedstudio.com.cn,CN,/about-us,关于我们 – 矽递科技,Organic Search,desktop,203,154,173,0.8786,0.1214,19.94,0,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/product-category/products-zh-hans,按产品 | 矽递科技 - AI 硬件合作伙伴,Unassigned,desktop,200,220,224,0.0,1.0,30.84,0,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/about-us,关于我们 – 矽递科技,Organic Search,desktop,193,188,206,0.0194,0.9806,14.02,0,0.0,2026-09-03 04:48:11
2026-08-31,2026-08-31,www.seeedstudio.com.cn,CN,/product-category/products-zh-hans,按产品 | 矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,192,142,150,0.9667,0.0333,30.31,0,0.0,2026-09-03 04:48:11
2026-09-01,2026-08-31,www.seeedstudio.com.cn,CN,/about-us,关于我们 – 矽递科技,Organic Search,desktop,184,151,162,0.8951,0.1049,22.44,0,0.0,2026-09-03 04:48:11
2026-09-01,2026-08-31,www.seeedstudio.com.cn,CN,/product-category/products-zh-hans,按产品 | 矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,170,126,132,0.9773,0.0227,32.05,0,0.0,2026-09-03 04:48:11
2026-09-01,2026-08-31,www.seeed.cc,EN,/customization,Customization Service – Seeed Studio,Unassigned,desktop,114,102,111,0.4775,0.5225,22.9,5,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/product-category/products-zh-hans,按产品 | 矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,112,136,144,0.0278,0.9722,17.76,0,0.0,2026-09-03 04:48:11
2026-08-28,2026-08-24,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,106,80,89,0.8202,0.1798,26.17,0,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Unassigned,desktop,98,244,252,0.0,1.0,26.06,0,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/about-us,关于我们 – 矽递科技,Unassigned,desktop,97,138,142,0.0,1.0,27.98,0,0.0,2026-09-03 04:48:11
2026-08-31,2026-08-31,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,mobile,95,48,57,0.7368,0.2632,15.42,0,0.0,2026-09-03 04:48:11
2026-07-30,2026-07-27,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,91,77,83,0.4819,0.5181,6.25,0,0.0,2026-09-03 04:48:11
2026-07-29,2026-07-27,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Direct,desktop,86,41,43,0.5814,0.4186,17.02,0,0.0,2026-09-03 04:48:11
2026-08-30,2026-08-24,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,85,67,75,0.8667,0.1333,26.8,0,0.0,2026-09-03 04:48:11
2026-08-12,2026-08-10,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,81,66,70,0.8571,0.1429,19.09,0,0.0,2026-09-03 04:48:11
2026-08-25,2026-08-24,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,81,60,72,0.8056,0.1944,21.33,1,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Direct,desktop,80,72,76,0.0132,0.9868,7.97,0,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,79,92,97,0.0,1.0,12.71,0,0.0,2026-09-03 04:48:11
2026-08-19,2026-08-17,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,78,59,66,0.6212,0.3788,15.58,0,0.0,2026-09-03 04:48:11
2026-07-27,2026-07-27,www.seeed.cc,EN,/solutions/smart-warehouse-management,Smart Warehouse Management | Voice-Controlled + Local Vision AI | Seeed Studio,Organic Social,mobile,75,65,68,0.5735,0.4265,17.07,0,0.0,2026-09-03 04:48:11
2026-07-27,2026-07-27,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,75,54,63,0.8254,0.1746,11.27,0,0.0,2026-09-03 04:48:11
2026-08-13,2026-08-10,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,75,57,62,0.7742,0.2258,14.61,0,0.0,2026-09-03 04:48:11
2026-08-25,2026-08-24,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,75,55,60,0.6667,0.3333,11.78,1,0.0,2026-09-03 04:48:11
2026-09-02,2026-08-31,www.seeedstudio.com.cn,CN,/product-category/hmi-zh-hans,按产品 - 屏幕/人机界面 | 矽递科技 - AI 硬件合作伙伴,Unassigned,desktop,75,74,74,0.0,1.0,37.14,0,0.0,2026-09-03 04:48:11
2026-07-24,2026-07-20,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,70,43,52,0.6154,0.3846,16.17,0,0.0,2026-09-03 04:48:11
2026-08-03,2026-08-03,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,70,53,64,0.625,0.375,10.12,0,0.0,2026-09-03 04:48:11
2026-07-27,2026-07-27,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,69,59,64,0.625,0.375,9.02,0,0.0,2026-09-03 04:48:11
2026-08-26,2026-08-24,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,68,53,63,0.6508,0.3492,14.54,0,0.0,2026-09-03 04:48:11
2026-08-27,2026-08-24,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,68,53,58,0.8103,0.1897,13.6,0,0.0,2026-09-03 04:48:11
2026-07-28,2026-07-27,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,67,56,65,0.8,0.2,15.31,0,0.0,2026-09-03 04:48:11
2026-07-23,2026-07-20,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,66,51,54,0.6296,0.3704,15.5,0,0.0,2026-09-03 04:48:11
2026-08-05,2026-08-03,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,66,45,50,0.74,0.26,9.04,0,0.0,2026-09-03 04:48:11
2026-08-06,2026-08-03,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,65,50,56,0.6786,0.3214,10.95,0,0.0,2026-09-03 04:48:11
2026-08-11,2026-08-10,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,65,48,55,0.8545,0.1455,14.02,0,0.0,2026-09-03 04:48:11
2026-08-12,2026-08-10,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,65,53,60,0.6333,0.3667,4.58,0,0.0,2026-09-03 04:48:11
2026-08-25,2026-08-24,www.seeedstudio.com.cn,CN,/about-us,关于我们 – 矽递科技,Organic Search,desktop,65,52,60,0.7833,0.2167,23.17,0,0.0,2026-09-03 04:48:11
2026-08-26,2026-08-24,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,65,54,60,0.8167,0.1833,19.07,0,0.0,2026-09-03 04:48:11
2026-08-18,2026-08-17,www.seeed.cc,EN,/customization,Customization Service – Seeed Studio,Unassigned,desktop,64,58,63,0.5873,0.4127,37.51,3,0.0,2026-09-03 04:48:11
2026-08-07,2026-08-03,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,63,47,53,0.7358,0.2642,19.47,0,0.0,2026-09-03 04:48:11
2026-08-19,2026-08-17,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,63,45,50,0.9,0.1,25.88,0,0.0,2026-09-03 04:48:11
2026-08-25,2026-08-24,www.seeed.cc,EN,/customization,Customization Service – Seeed Studio,Unassigned,desktop,63,61,68,0.5147,0.4853,15.5,3,0.0,2026-09-03 04:48:11
2026-08-27,2026-08-24,www.seeedstudio.com.cn,CN,/product-category/products-zh-hans,按产品 | 矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,63,40,45,0.9556,0.0444,13.36,0,0.0,2026-09-03 04:48:11
2026-08-31,2026-08-31,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,63,50,52,0.6346,0.3654,10.83,0,0.0,2026-09-03 04:48:11
2026-07-24,2026-07-20,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,62,50,59,0.8305,0.1695,31.24,0,0.0,2026-09-03 04:48:11
2026-08-03,2026-08-03,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,62,51,58,0.8103,0.1897,22.9,0,0.0,2026-09-03 04:48:11
2026-08-11,2026-08-10,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,62,46,53,0.6792,0.3208,10.92,1,0.0,2026-09-03 04:48:11
2026-08-28,2026-08-24,www.seeed.cc,EN,/,Seeed Studio - The AI Hardware Partner,Unassigned,desktop,62,55,56,0.7679,0.2321,13.54,0,0.0,2026-09-03 04:48:11
2026-08-29,2026-08-24,www.seeedstudio.com.cn,CN,/,矽递科技 - AI 硬件合作伙伴,Organic Search,desktop,62,44,52,0.8269,0.1731,21.4,0,0.0,2026-09-03 04:48:11
