week_ending,slug,landing_pv,users,sessions,avg_eng_s,engagement_rate,top_channel,cta_clicks,form_submits,key_events,data_status,wow_pct
2026-09-06,conversational-voice-ai,108,120,129,47.9,0.3721,Unassigned,0,未接入,0,GA4已接入,2.9
2026-09-06,voicecollectionanalysis,90,83,95,35.7,0.4316,Unassigned,1,未接入,1,GA4已接入,-49.7
2026-09-06,smart-livestock-farming,49,38,52,27.6,0.4231,Unassigned,0,未接入,0,GA4已接入,-27.9
2026-09-06,smart-agriculture-sensing,43,44,51,32.6,0.451,Organic Search,0,未接入,0,GA4已接入,-48.2
2026-09-06,intelligent-video-analytics,40,46,54,52.5,0.3148,Direct,0,未接入,0,GA4已接入,-70.6
2026-09-06,environment-monitoring,29,26,30,31.8,0.5,Direct,0,未接入,0,GA4已接入,-37.0
2026-09-06,smart-warehouse-management,29,30,34,42.7,0.4118,Direct,0,未接入,0,GA4已接入,-63.8
2026-09-06,indoor-outdoor-positioning,24,31,34,26.6,0.2059,Unassigned,0,未接入,0,GA4已接入,-36.8
2026-09-06,hazard-response,21,25,29,57.5,0.2759,Unassigned,0,未接入,0,GA4已接入,-44.7
2026-09-06,building-energy-management,18,21,23,24.5,0.5217,Direct,0,未接入,0,GA4已接入,-66.7
2026-09-06,building-energy-retrofit,16,17,19,62.2,0.2632,Direct,0,未接入,0,GA4已接入,-48.4
2026-09-06,campus-safety-management,12,15,15,33.4,0.4667,Unassigned,0,未接入,0,GA4已接入,-50.0
2026-08-30,voicecollectionanalysis,179,166,192,27.1,0.6198,Unassigned,0,未接入,0,GA4已接入,61.3
2026-08-30,intelligent-video-analytics,136,95,130,52.2,0.7231,Direct,0,未接入,0,GA4已接入,70.0
2026-08-30,conversational-voice-ai,105,94,115,45.6,0.7652,Direct,0,未接入,0,GA4已接入,-37.5
2026-08-30,smart-agriculture-sensing,83,67,74,43.2,0.7432,Direct,0,未接入,0,GA4已接入,22.1
2026-08-30,smart-warehouse-management,80,73,83,40.2,0.7108,Direct,0,未接入,0,GA4已接入,66.7
2026-08-30,smart-livestock-farming,68,48,72,44.8,0.6389,Direct,0,未接入,0,GA4已接入,-21.8
2026-08-30,building-energy-management,54,53,56,33.2,0.9107,Direct,0,未接入,0,GA4已接入,25.6
2026-08-30,environment-monitoring,46,45,49,42.3,0.7551,Direct,0,未接入,0,GA4已接入,31.4
2026-08-30,indoor-outdoor-positioning,38,35,42,25.0,0.6667,Direct,0,未接入,0,GA4已接入,-26.9
2026-08-30,hazard-response,38,38,38,34.6,0.8158,Direct,0,未接入,0,GA4已接入,-13.6
2026-08-30,building-energy-retrofit,31,27,29,45.9,0.7931,Direct,0,未接入,0,GA4已接入,-31.1
2026-08-30,campus-safety-management,24,21,25,26.8,0.72,Direct,0,未接入,0,GA4已接入,-41.5
2026-08-23,conversational-voice-ai,168,145,168,39.4,0.7262,Organic Social,0,未接入,0,GA4已接入,42.4
2026-08-23,voicecollectionanalysis,111,103,117,23.9,0.6239,Unassigned,0,未接入,0,GA4已接入,-17.8
2026-08-23,smart-livestock-farming,87,65,81,35.0,0.6543,Direct,0,未接入,0,GA4已接入,13.0
2026-08-23,intelligent-video-analytics,80,64,80,74.3,0.675,Direct,0,未接入,0,GA4已接入,-41.2
2026-08-23,smart-agriculture-sensing,68,58,70,40.1,0.7286,Direct,1,未接入,1,GA4已接入,-35.2
2026-08-23,indoor-outdoor-positioning,52,46,52,43.6,0.7692,Direct,0,未接入,0,GA4已接入,-45.8
2026-08-23,smart-warehouse-management,48,47,53,26.4,0.8113,Direct,1,未接入,1,GA4已接入,-23.8
2026-08-23,building-energy-retrofit,45,43,48,49.6,0.7708,Direct,0,未接入,0,GA4已接入,18.4
2026-08-23,hazard-response,44,37,41,32.9,0.7805,Direct,0,未接入,0,GA4已接入,76.0
2026-08-23,building-energy-management,43,41,48,41.1,0.7917,Direct,1,未接入,1,GA4已接入,13.2
2026-08-23,campus-safety-management,41,36,41,27.3,0.7561,Direct,0,未接入,0,GA4已接入,46.4
2026-08-23,environment-monitoring,35,35,37,31.5,0.7297,Direct,0,未接入,0,GA4已接入,-22.2
2026-08-16,intelligent-video-analytics,136,104,135,37.4,0.7037,Direct,1,未接入,1,GA4已接入,1.5
