week_ending,slug,page_pv,cta_clicks,form_submits,add_to_cart,pv_to_cta_rate,cta_to_form_rate,data_status,engaged_sessions
2026-09-06,conversational-voice-ai,108,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,48
2026-09-06,voicecollectionanalysis,90,1,未接入,未接入,1.11,未接入,GA4部分·CRM未接入,41
2026-09-06,smart-livestock-farming,49,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,22
2026-09-06,smart-agriculture-sensing,43,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,23
2026-09-06,intelligent-video-analytics,40,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,17
2026-09-06,environment-monitoring,29,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,15
2026-09-06,smart-warehouse-management,29,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,14
2026-09-06,indoor-outdoor-positioning,24,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,7
2026-09-06,hazard-response,21,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,8
2026-09-06,building-energy-management,18,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,12
2026-09-06,building-energy-retrofit,16,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,5
2026-09-06,campus-safety-management,12,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,7
2026-08-30,voicecollectionanalysis,179,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,119
2026-08-30,intelligent-video-analytics,136,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,94
2026-08-30,conversational-voice-ai,105,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,88
2026-08-30,smart-agriculture-sensing,83,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,55
2026-08-30,smart-warehouse-management,80,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,59
2026-08-30,smart-livestock-farming,68,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,46
2026-08-30,building-energy-management,54,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,51
2026-08-30,environment-monitoring,46,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,37
2026-08-30,indoor-outdoor-positioning,38,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,28
2026-08-30,hazard-response,38,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,31
2026-08-30,building-energy-retrofit,31,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,23
2026-08-30,campus-safety-management,24,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,18
2026-08-23,conversational-voice-ai,168,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,122
2026-08-23,voicecollectionanalysis,111,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,73
2026-08-23,smart-livestock-farming,87,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,53
2026-08-23,intelligent-video-analytics,80,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,54
2026-08-23,smart-agriculture-sensing,68,1,未接入,未接入,1.47,未接入,GA4部分·CRM未接入,51
2026-08-23,indoor-outdoor-positioning,52,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,40
2026-08-23,smart-warehouse-management,48,1,未接入,未接入,2.08,未接入,GA4部分·CRM未接入,43
2026-08-23,building-energy-retrofit,45,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,37
2026-08-23,hazard-response,44,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,32
2026-08-23,building-energy-management,43,1,未接入,未接入,2.33,未接入,GA4部分·CRM未接入,38
2026-08-23,campus-safety-management,41,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,31
2026-08-23,environment-monitoring,35,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,27
2026-08-16,intelligent-video-analytics,136,1,未接入,未接入,0.74,未接入,GA4部分·CRM未接入,95
2026-08-16,voicecollectionanalysis,135,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,87
2026-08-16,conversational-voice-ai,118,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,71
2026-08-16,smart-agriculture-sensing,105,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,73
2026-08-16,indoor-outdoor-positioning,96,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,63
2026-08-16,smart-livestock-farming,77,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,59
2026-08-16,smart-warehouse-management,63,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,45
2026-08-16,environment-monitoring,45,2,未接入,未接入,4.44,未接入,GA4部分·CRM未接入,38
2026-08-16,building-energy-retrofit,38,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,24
2026-08-16,building-energy-management,38,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,32
2026-08-16,campus-safety-management,28,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,19
2026-08-16,hazard-response,25,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,23
2026-08-09,intelligent-video-analytics,134,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,91
2026-08-09,conversational-voice-ai,130,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,99
2026-08-09,voicecollectionanalysis,121,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,95
2026-08-09,smart-livestock-farming,100,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,60
2026-08-09,smart-agriculture-sensing,86,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,74
2026-08-09,smart-warehouse-management,80,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,41
2026-08-09,building-energy-retrofit,69,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,41
2026-08-09,environment-monitoring,54,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,35
2026-08-09,hazard-response,53,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,46
2026-08-09,campus-safety-management,45,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,33
2026-08-09,indoor-outdoor-positioning,37,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,22
2026-08-09,building-energy-management,30,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,26
2026-08-02,smart-warehouse-management,328,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,179
2026-08-02,conversational-voice-ai,143,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,117
2026-08-02,voicecollectionanalysis,142,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,105
2026-08-02,intelligent-video-analytics,99,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,69
2026-08-02,smart-livestock-farming,96,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,76
