week_ending,slug,page_pv,cta_clicks,form_submits,add_to_cart,pv_to_cta_rate,cta_to_form_rate,data_status,engaged_sessions
2026-08-02,building-energy-management,48,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,39
2026-08-02,building-energy-retrofit,36,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,30
2026-08-02,campus-safety-management,43,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,29
2026-08-02,conversational-voice-ai,143,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,117
2026-08-02,environment-monitoring,50,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,40
2026-08-02,hazard-response,32,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,23
2026-08-02,indoor-outdoor-positioning,58,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,37
2026-08-02,intelligent-video-analytics,99,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,69
2026-08-02,smart-agriculture-sensing,75,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,55
2026-08-02,smart-livestock-farming,96,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,76
2026-08-02,smart-warehouse-management,328,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,179
2026-08-02,voicecollectionanalysis,142,未接入,未接入,未接入,未接入,未接入,GA4部分·CRM未接入,105
