周次,方案名称,落地访问量,独立访客数,session,平均停留时长(秒),参与率,主要流量来源,CTA点击量,表单提交,event,数据状态,周环比(%)
2026-06-28,building-energy-management,24,26,29,32.8,0.7931,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,building-energy-management,43,42,44,25.6,0.6364,Direct,未接入,未接入,0,GA4已接入,79.2
2026-07-12,building-energy-management,39,40,43,19.8,0.814,Unassigned,未接入,未接入,0,GA4已接入,-9.3
2026-07-19,building-energy-management,41,38,41,19.4,0.8049,Direct,未接入,未接入,0,GA4已接入,5.1
2026-07-26,building-energy-management,51,47,51,45.4,0.8627,Direct,未接入,未接入,1,GA4已接入,24.4
2026-08-02,building-energy-management,48,39,44,43.4,0.8864,Direct,未接入,未接入,0,GA4已接入,-5.9
2026-08-09,building-energy-management,3,3,3,57.3,0.6667,Direct,未接入,未接入,0,GA4已接入,-93.8
2026-06-28,building-energy-retrofit,31,25,30,31.1,0.6667,Direct,未接入,未接入,0,GA4已接入,
2026-07-05,building-energy-retrofit,36,35,37,53.0,0.7297,Direct,未接入,未接入,0,GA4已接入,16.1
2026-07-12,building-energy-retrofit,21,21,23,58.1,0.6087,Direct,未接入,未接入,0,GA4已接入,-41.7
2026-07-19,building-energy-retrofit,41,37,44,15.1,0.6818,Direct,未接入,未接入,0,GA4已接入,95.2
2026-07-26,building-energy-retrofit,28,25,30,40.9,0.8333,Referral,未接入,未接入,0,GA4已接入,-31.7
2026-08-02,building-energy-retrofit,36,34,42,22.5,0.7143,Direct,未接入,未接入,0,GA4已接入,28.6
2026-08-09,building-energy-retrofit,14,12,12,31.9,0.6667,Direct,未接入,未接入,0,GA4已接入,-61.1
2026-06-28,campus-safety-management,27,22,29,16.7,0.5517,Referral,未接入,未接入,0,GA4已接入,
2026-07-05,campus-safety-management,35,30,34,37.6,0.7647,Direct,未接入,未接入,0,GA4已接入,29.6
2026-07-12,campus-safety-management,32,32,35,30.7,0.6857,Direct,未接入,未接入,0,GA4已接入,-8.6
2026-07-19,campus-safety-management,30,30,31,30.8,0.8387,Referral,未接入,未接入,0,GA4已接入,-6.2
2026-07-26,campus-safety-management,38,32,36,40.0,0.8333,Direct,未接入,未接入,1,GA4已接入,26.7
2026-08-02,campus-safety-management,43,31,35,26.9,0.8286,Direct,未接入,未接入,0,GA4已接入,13.2
2026-08-09,campus-safety-management,9,7,10,23.7,0.7,Direct,未接入,未接入,0,GA4已接入,-79.1
2026-06-28,conversational-voice-ai,93,82,101,54.6,0.7129,Direct,未接入,未接入,1,GA4已接入,
2026-07-05,conversational-voice-ai,104,82,102,45.3,0.7157,Direct,未接入,未接入,3,GA4已接入,11.8
2026-07-12,conversational-voice-ai,105,87,104,56.7,0.7404,Direct,未接入,未接入,1,GA4已接入,1.0
2026-07-19,conversational-voice-ai,115,113,129,30.8,0.7054,Direct,未接入,未接入,0,GA4已接入,9.5
2026-07-26,conversational-voice-ai,119,101,130,72.4,0.7,Direct,未接入,未接入,2,GA4已接入,3.5
2026-08-02,conversational-voice-ai,143,122,147,28.3,0.7959,Direct,未接入,未接入,0,GA4已接入,20.2
