week_ending,slug,page_pv,cta_clicks,form_submits,add_to_cart,pv_to_cta_rate,cta_to_form_rate,data_status,engaged_sessions
2026-08-30,voicecollectionanalysis,188,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,115
2026-08-30,intelligent-video-analytics,137,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,94
2026-08-30,conversational-voice-ai,106,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,88
2026-08-30,smart-agriculture-sensing,97,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,55
2026-08-30,smart-warehouse-management,85,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,61
2026-08-30,smart-livestock-farming,75,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,45
2026-08-30,building-energy-management,55,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,48
2026-08-30,environment-monitoring,47,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,36
2026-08-30,indoor-outdoor-positioning,40,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,28
2026-08-30,hazard-response,39,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,29
2026-08-30,campus-safety-management,33,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,18
2026-08-30,building-energy-retrofit,32,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,23
2026-08-23,conversational-voice-ai,171,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,119
2026-08-23,voicecollectionanalysis,125,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,71
2026-08-23,smart-livestock-farming,95,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,50
2026-08-23,smart-agriculture-sensing,86,1,未接入,未接入,1.16,未接入,GA4部分·CRM未接入,49
2026-08-23,intelligent-video-analytics,85,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,55
2026-08-23,building-energy-management,53,1,未接入,未接入,1.89,未接入,GA4部分·CRM未接入,36
2026-08-23,indoor-outdoor-positioning,52,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,40
2026-08-23,smart-warehouse-management,50,1,未接入,未接入,2.0,未接入,GA4部分·CRM未接入,43
2026-08-23,building-energy-retrofit,45,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,36
2026-08-23,hazard-response,44,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,30
2026-08-23,campus-safety-management,42,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,31
2026-08-23,environment-monitoring,35,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,26
2026-08-16,intelligent-video-analytics,154,1,未接入,未接入,0.65,未接入,GA4部分·CRM未接入,96
2026-08-16,voicecollectionanalysis,146,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,84
2026-08-16,smart-agriculture-sensing,125,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,70
2026-08-16,conversational-voice-ai,118,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,70
2026-08-16,indoor-outdoor-positioning,96,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,61
2026-08-16,smart-livestock-farming,82,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,53
2026-08-16,smart-warehouse-management,63,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,43
2026-08-16,environment-monitoring,45,2,未接入,未接入,4.44,未接入,GA4部分·CRM未接入,36
2026-08-16,building-energy-management,41,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,30
2026-08-16,building-energy-retrofit,39,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,22
2026-08-16,campus-safety-management,37,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,19
2026-08-16,hazard-response,25,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,22
2026-08-09,voicecollectionanalysis,141,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,93
2026-08-09,intelligent-video-analytics,135,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,89
2026-08-09,conversational-voice-ai,133,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,99
2026-08-09,smart-agriculture-sensing,127,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,71
2026-08-09,smart-livestock-farming,111,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,57
2026-08-09,smart-warehouse-management,82,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,41
2026-08-09,building-energy-retrofit,69,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,40
2026-08-09,hazard-response,58,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,43
2026-08-09,environment-monitoring,56,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,35
2026-08-09,campus-safety-management,56,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,32
2026-08-09,indoor-outdoor-positioning,40,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,22
2026-08-09,building-energy-management,38,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,25
2026-08-02,smart-warehouse-management,332,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,175
2026-08-02,voicecollectionanalysis,150,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,103
2026-08-02,conversational-voice-ai,147,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,115
2026-08-02,smart-agriculture-sensing,119,0,未接入,未接入,0.0,未接入,GA4部分·CRM未接入,55
