week_ending,slug,landing_pv,users,sessions,avg_eng_s,engagement_rate,top_channel,cta_clicks,form_submits,key_events,data_status,wow_pct
2026-09-13,voicecollectionanalysis,178,165,183,24.1,0.4153,Unassigned,6,0,0,GA4+LeadApi已接入,-9.6
2026-09-13,conversational-voice-ai,162,144,174,57.6,0.6552,Direct,15,1,3,GA4+LeadApi已接入,-22.1
2026-09-13,smart-agriculture-sensing,100,81,90,33.6,0.5889,Direct,13,0,0,GA4+LeadApi已接入,-10.7
2026-09-13,smart-livestock-farming,85,60,83,13.6,0.5542,Direct,3,0,0,GA4+LeadApi已接入,-28.0
2026-09-13,intelligent-video-analytics,71,52,67,78.2,0.6119,Direct,7,0,0,GA4+LeadApi已接入,-46.6
2026-09-13,smart-warehouse-management,68,67,76,37.3,0.6711,Direct,6,0,0,GA4+LeadApi已接入,-20.9
2026-09-13,indoor-outdoor-positioning,56,44,52,29.0,0.75,Direct,6,0,0,GA4+LeadApi已接入,27.3
2026-09-13,environment-monitoring,54,48,55,48.4,0.6727,Direct,0,0,0,GA4+LeadApi已接入,-16.9
2026-09-13,building-energy-management,43,42,46,32.1,0.6739,Organic Search,0,0,0,GA4+LeadApi已接入,-14.0
2026-09-13,campus-safety-management,41,42,45,22.8,0.6667,Direct,3,0,0,GA4+LeadApi已接入,5.1
2026-09-13,building-energy-retrofit,22,21,23,29.5,0.7826,Direct,0,0,0,GA4+LeadApi已接入,-51.1
2026-09-13,hazard-response,17,16,19,66.2,0.7895,Direct,3,0,0,GA4+LeadApi已接入,-63.0
2026-09-06,conversational-voice-ai,208,188,211,57.9,0.8389,Organic Search,33,0,0,GA4+LeadApi已接入,96.2
2026-09-06,voicecollectionanalysis,197,171,189,31.4,0.582,Unassigned,12,1,1,GA4+LeadApi已接入,4.8
2026-09-06,intelligent-video-analytics,133,79,100,57.9,0.65,Direct,10,1,1,GA4+LeadApi已接入,-2.9
2026-09-06,smart-livestock-farming,118,82,107,23.9,0.6355,Direct,9,0,0,GA4+LeadApi已接入,57.3
2026-09-06,smart-agriculture-sensing,112,109,118,24.1,0.4746,Direct,16,0,0,GA4+LeadApi已接入,15.5
2026-09-06,smart-warehouse-management,86,67,76,65.2,0.75,Direct,10,1,1,GA4+LeadApi已接入,1.2
2026-09-06,environment-monitoring,65,53,65,43.2,0.7077,Direct,7,1,1,GA4+LeadApi已接入,38.3
2026-09-06,building-energy-management,50,48,53,23.3,0.717,Direct,1,0,0,GA4+LeadApi已接入,-9.1
2026-09-06,hazard-response,46,45,46,70.1,0.8478,Direct,12,0,0,GA4+LeadApi已接入,17.9
2026-09-06,building-energy-retrofit,45,32,39,60.9,0.6667,Direct,2,0,0,GA4+LeadApi已接入,40.6
2026-09-06,indoor-outdoor-positioning,44,43,48,35.7,0.6458,Organic Search,6,0,0,GA4+LeadApi已接入,10.0
2026-09-06,campus-safety-management,39,37,38,32.0,0.6842,Direct,8,0,0,GA4+LeadApi已接入,18.2
2026-08-30,voicecollectionanalysis,188,171,198,26.3,0.5808,Unassigned,13,0,0,GA4+LeadApi已接入,50.4
2026-08-30,intelligent-video-analytics,137,95,130,52.6,0.7231,Direct,14,0,0,GA4+LeadApi已接入,61.2
2026-08-30,conversational-voice-ai,106,94,115,45.9,0.7652,Direct,14,0,0,GA4+LeadApi已接入,-38.0
2026-08-30,smart-agriculture-sensing,97,80,88,36.9,0.625,Direct,11,0,0,GA4+LeadApi已接入,12.8
2026-08-30,smart-warehouse-management,85,78,88,40.9,0.6932,Direct,17,0,0,GA4+LeadApi已接入,70.0
2026-08-30,smart-livestock-farming,75,54,78,41.3,0.5769,Direct,9,0,0,GA4+LeadApi已接入,-21.1
2026-08-30,building-energy-management,55,51,54,34.5,0.8889,Direct,6,0,0,GA4+LeadApi已接入,3.8
2026-08-30,environment-monitoring,47,45,49,42.3,0.7347,Direct,2,0,0,GA4+LeadApi已接入,34.3
2026-08-30,indoor-outdoor-positioning,40,37,44,23.9,0.6364,Direct,2,0,0,GA4+LeadApi已接入,-23.1
2026-08-30,hazard-response,39,37,37,35.5,0.7838,Direct,9,0,0,GA4+LeadApi已接入,-11.4
2026-08-30,campus-safety-management,33,30,35,19.4,0.5143,Direct,2,0,0,GA4+LeadApi已接入,-21.4
2026-08-30,building-energy-retrofit,32,28,30,44.4,0.7667,Direct,3,0,0,GA4+LeadApi已接入,-28.9
2026-08-23,conversational-voice-ai,171,144,167,39.8,0.7126,Direct,20,0,0,GA4+LeadApi已接入,44.9
2026-08-23,voicecollectionanalysis,125,116,130,21.8,0.5462,Unassigned,9,0,0,GA4+LeadApi已接入,-14.4
2026-08-23,smart-livestock-farming,95,70,86,32.9,0.5814,Direct,6,0,0,GA4+LeadApi已接入,15.9
2026-08-23,smart-agriculture-sensing,86,78,90,31.6,0.5444,Direct,14,1,1,GA4+LeadApi已接入,-31.2
2026-08-23,intelligent-video-analytics,85,66,83,72.9,0.6627,Direct,8,0,0,GA4+LeadApi已接入,-44.8
2026-08-23,building-energy-management,53,50,57,34.6,0.6316,Direct,8,1,1,GA4+LeadApi已接入,29.3
2026-08-23,indoor-outdoor-positioning,52,46,52,43.6,0.7692,Direct,2,0,0,GA4+LeadApi已接入,-45.8
2026-08-23,smart-warehouse-management,50,47,53,28.2,0.8113,Direct,8,1,1,GA4+LeadApi已接入,-20.6
2026-08-23,building-energy-retrofit,45,42,47,50.7,0.766,Direct,1,0,0,GA4+LeadApi已接入,15.4
2026-08-23,hazard-response,44,35,39,34.5,0.7692,Direct,4,0,0,GA4+LeadApi已接入,76.0
2026-08-23,campus-safety-management,42,38,43,26.1,0.7209,Direct,4,1,0,GA4+LeadApi已接入,13.5
2026-08-23,environment-monitoring,35,34,36,32.3,0.7222,Direct,0,0,0,GA4+LeadApi已接入,-22.2
2026-08-16,intelligent-video-analytics,154,105,141,39.7,0.6809,Direct,29,1,1,GA4+LeadApi已接入,14.1
2026-08-16,voicecollectionanalysis,146,126,153,31.3,0.549,Unassigned,15,1,0,GA4+LeadApi已接入,3.5
2026-08-16,smart-agriculture-sensing,125,95,121,19.9,0.5785,Direct,8,0,0,GA4+LeadApi已接入,-1.6
2026-08-16,conversational-voice-ai,118,85,106,45.9,0.6604,Direct,8,0,0,GA4+LeadApi已接入,-11.3
2026-08-16,indoor-outdoor-positioning,96,73,95,30.0,0.6421,Organic Social,11,0,0,GA4+LeadApi已接入,140.0
2026-08-16,smart-livestock-farming,82,63,74,35.8,0.7162,Direct,5,0,0,GA4+LeadApi已接入,-26.1
2026-08-16,smart-warehouse-management,63,57,75,45.1,0.5733,Direct,7,0,0,GA4+LeadApi已接入,-23.2
2026-08-16,environment-monitoring,45,40,47,75.8,0.766,Direct,5,2,2,GA4+LeadApi已接入,-19.6
2026-08-16,building-energy-management,41,38,42,30.4,0.7143,Direct,3,0,0,GA4+LeadApi已接入,7.9
2026-08-16,building-energy-retrofit,39,28,36,19.6,0.6111,Direct,0,0,0,GA4+LeadApi已接入,-43.5
2026-08-16,campus-safety-management,37,30,32,13.3,0.5938,Direct,2,0,0,GA4+LeadApi已接入,-33.9
2026-08-16,hazard-response,25,24,26,42.9,0.8462,Direct,10,0,0,GA4+LeadApi已接入,-56.9
2026-08-09,voicecollectionanalysis,141,131,155,22.5,0.6,Unassigned,13,0,0,GA4+LeadApi已接入,-6.0
2026-08-09,intelligent-video-analytics,135,117,136,38.7,0.6544,Direct,18,0,0,GA4+LeadApi已接入,31.1
2026-08-09,conversational-voice-ai,133,123,144,31.6,0.6875,Direct,10,0,0,GA4+LeadApi已接入,-9.5
2026-08-09,smart-agriculture-sensing,127,130,137,23.4,0.5182,Direct,11,0,0,GA4+LeadApi已接入,6.7
2026-08-09,smart-livestock-farming,111,81,100,33.4,0.57,Direct,16,0,0,GA4+LeadApi已接入,0.9
2026-08-09,smart-warehouse-management,82,61,92,29.3,0.4457,Direct,5,0,0,GA4+LeadApi已接入,-75.3
2026-08-09,building-energy-retrofit,69,54,65,29.4,0.6154,Direct,9,0,0,GA4+LeadApi已接入,81.6
2026-08-09,hazard-response,58,53,58,35.6,0.7414,Direct,10,0,0,GA4+LeadApi已接入,56.8
2026-08-09,environment-monitoring,56,51,60,27.0,0.5833,Direct,4,0,0,GA4+LeadApi已接入,12.0
2026-08-09,campus-safety-management,56,43,50,27.9,0.64,Direct,3,0,0,GA4+LeadApi已接入,16.7
2026-08-09,indoor-outdoor-positioning,40,41,45,20.0,0.4889,Direct,6,0,0,GA4+LeadApi已接入,-31.0
2026-08-09,building-energy-management,38,37,38,28.9,0.6579,Direct,8,0,0,GA4+LeadApi已接入,-43.3
2026-08-02,smart-warehouse-management,332,259,329,27.3,0.5319,Organic Social,25,0,0,GA4+LeadApi已接入,97.6
2026-08-02,voicecollectionanalysis,150,123,151,32.0,0.6821,Unassigned,17,0,0,GA4+LeadApi已接入,11.1
2026-08-02,conversational-voice-ai,147,120,148,28.1,0.777,Direct,14,0,0,GA4+LeadApi已接入,18.5
2026-08-02,smart-agriculture-sensing,119,103,112,23.2,0.4911,Direct,2,0,0,GA4+LeadApi已接入,45.1
2026-08-02,smart-livestock-farming,110,84,108,30.9,0.6944,Direct,2,0,0,GA4+LeadApi已接入,25.0
2026-08-02,intelligent-video-analytics,103,78,102,34.9,0.6961,Direct,16,0,0,GA4+LeadApi已接入,102.0
2026-08-02,building-energy-management,67,57,62,30.8,0.5968,Direct,6,0,0,GA4+LeadApi已接入,15.5
2026-08-02,indoor-outdoor-positioning,58,47,60,29.5,0.6,Direct,1,0,0,GA4+LeadApi已接入,26.1
2026-08-02,environment-monitoring,50,45,52,44.4,0.6923,Direct,4,1,1,GA4+LeadApi已接入,-24.2
2026-08-02,campus-safety-management,48,39,43,21.9,0.6744,Direct,2,0,0,GA4+LeadApi已接入,14.3
2026-08-02,building-energy-retrofit,38,36,44,21.5,0.6818,Direct,2,0,0,GA4+LeadApi已接入,26.7
2026-08-02,hazard-response,37,35,41,15.0,0.561,Direct,0,0,0,GA4+LeadApi已接入,-19.6
2026-07-26,smart-warehouse-management,168,136,157,33.8,0.6051,Organic Social,16,0,0,GA4+LeadApi已接入,78.7
2026-07-26,voicecollectionanalysis,135,118,146,31.9,0.5479,Unassigned,16,1,1,GA4+LeadApi已接入,-5.6
2026-07-26,conversational-voice-ai,124,104,133,71.1,0.6992,Direct,12,3,2,GA4+LeadApi已接入,7.8
2026-07-26,smart-livestock-farming,88,62,75,39.7,0.7333,Direct,8,0,0,GA4+LeadApi已接入,44.3
2026-07-26,smart-agriculture-sensing,82,68,74,25.7,0.7568,Direct,5,0,0,GA4+LeadApi已接入,10.8
2026-07-26,environment-monitoring,66,50,63,39.3,0.6825,Direct,2,1,1,GA4+LeadApi已接入,43.5
2026-07-26,building-energy-management,58,54,58,39.9,0.7414,Direct,7,1,1,GA4+LeadApi已接入,38.1
2026-07-26,intelligent-video-analytics,51,46,59,31.8,0.5932,Direct,3,0,0,GA4+LeadApi已接入,-29.2
2026-07-26,indoor-outdoor-positioning,46,44,52,63.3,0.8077,Direct,13,1,1,GA4+LeadApi已接入,-24.6
2026-07-26,hazard-response,46,36,41,30.3,0.8049,Direct,1,0,0,GA4+LeadApi已接入,76.9
2026-07-26,campus-safety-management,42,35,39,38.6,0.8205,Direct,4,1,1,GA4+LeadApi已接入,35.5
2026-07-26,building-energy-retrofit,30,26,31,39.7,0.8065,Referral,2,0,0,GA4+LeadApi已接入,-26.8
2026-07-19,voicecollectionanalysis,143,126,151,32.6,0.5497,Unassigned,10,0,0,GA4+LeadApi已接入,-20.1
2026-07-19,conversational-voice-ai,115,113,129,30.8,0.7054,Direct,7,0,0,GA4+LeadApi已接入,9.5
2026-07-19,smart-warehouse-management,94,63,89,69.4,0.6854,Direct,4,0,0,GA4+LeadApi已接入,-32.9
2026-07-19,smart-agriculture-sensing,74,65,76,44.0,0.7895,Direct,16,0,0,GA4+LeadApi已接入,-11.9
2026-07-19,intelligent-video-analytics,72,68,76,29.9,0.75,Direct,15,0,0,GA4+LeadApi已接入,67.4
2026-07-19,smart-livestock-farming,61,51,59,24.9,0.6271,Direct,3,0,0,GA4+LeadApi已接入,-26.5
2026-07-19,indoor-outdoor-positioning,61,52,64,34.4,0.625,Direct,3,0,0,GA4+LeadApi已接入,48.8
2026-07-19,environment-monitoring,46,44,49,41.1,0.6327,Direct,2,1,1,GA4+LeadApi已接入,27.8
2026-07-19,building-energy-management,42,39,42,19.0,0.7857,Direct,1,0,0,GA4+LeadApi已接入,7.7
2026-07-19,building-energy-retrofit,41,37,44,15.1,0.6818,Direct,1,0,0,GA4+LeadApi已接入,95.2
2026-07-19,campus-safety-management,31,31,32,30.1,0.8125,Referral,4,0,0,GA4+LeadApi已接入,-3.1
2026-07-19,hazard-response,26,24,24,25.7,0.8333,Referral,3,0,0,GA4+LeadApi已接入,-7.1
2026-07-12,voicecollectionanalysis,179,142,183,33.1,0.5847,Unassigned,14,0,0,GA4+LeadApi已接入,-6.8
2026-07-12,smart-warehouse-management,140,87,117,77.1,0.6581,Direct,32,0,0,GA4+LeadApi已接入,164.2
2026-07-12,conversational-voice-ai,105,86,103,57.3,0.7379,Direct,12,1,1,GA4+LeadApi已接入,0.0
2026-07-12,smart-agriculture-sensing,84,77,87,67.9,0.7816,Direct,18,0,0,GA4+LeadApi已接入,-8.7
2026-07-12,smart-livestock-farming,83,66,78,28.3,0.641,Direct,7,0,0,GA4+LeadApi已接入,29.7
2026-07-12,intelligent-video-analytics,43,38,42,38.4,0.6667,Direct,6,0,0,GA4+LeadApi已接入,-28.3
2026-07-12,indoor-outdoor-positioning,41,35,39,48.1,0.6923,Direct,2,1,1,GA4+LeadApi已接入,-4.7
2026-07-12,building-energy-management,39,37,40,21.2,0.8,Direct,1,0,0,GA4+LeadApi已接入,-9.3
2026-07-12,environment-monitoring,36,32,37,47.5,0.8108,Direct,3,0,0,GA4+LeadApi已接入,-2.7
2026-07-12,campus-safety-management,32,32,35,30.7,0.6857,Direct,4,0,0,GA4+LeadApi已接入,-8.6
2026-07-12,hazard-response,28,28,30,13.7,0.6333,Direct,0,0,0,GA4+LeadApi已接入,-45.1
2026-07-12,building-energy-retrofit,21,21,23,58.1,0.6087,Direct,2,0,0,GA4+LeadApi已接入,-41.7
2026-07-05,voicecollectionanalysis,192,163,194,25.0,0.5773,Unassigned,4,2,2,GA4+LeadApi已接入,-4.5
2026-07-05,conversational-voice-ai,105,80,100,46.6,0.71,Direct,12,3,3,GA4+LeadApi已接入,-9.5
2026-07-05,smart-agriculture-sensing,92,74,83,53.7,0.6988,Direct,6,0,0,GA4+LeadApi已接入,1.1
2026-07-05,smart-livestock-farming,64,55,70,16.6,0.4857,Direct,7,0,0,GA4+LeadApi已接入,14.3
2026-07-05,intelligent-video-analytics,60,55,67,28.4,0.6567,Direct,7,0,0,GA4+LeadApi已接入,-36.8
2026-07-05,smart-warehouse-management,53,53,57,40.1,0.7368,Direct,10,1,0,GA4+LeadApi已接入,-17.2
2026-07-05,hazard-response,51,47,56,28.8,0.6071,Direct,4,0,0,GA4+LeadApi已接入,96.2
2026-07-05,indoor-outdoor-positioning,43,41,52,27.8,0.6346,Direct,3,0,0,GA4+LeadApi已接入,-50.0
2026-07-05,building-energy-management,43,41,43,26.2,0.6279,Direct,3,0,0,GA4+LeadApi已接入,48.3
2026-07-05,environment-monitoring,37,35,44,47.0,0.7273,Direct,3,0,0,GA4+LeadApi已接入,-22.9
2026-07-05,building-energy-retrofit,36,35,37,53.0,0.7297,Direct,0,0,0,GA4+LeadApi已接入,-5.3
2026-07-05,campus-safety-management,35,29,33,38.7,0.7576,Direct,2,0,0,GA4+LeadApi已接入,9.4
2026-06-28,voicecollectionanalysis,201,157,198,30.0,0.601,Unassigned,19,0,0,GA4+LeadApi已接入,95.1
2026-06-28,conversational-voice-ai,116,99,126,52.4,0.6984,Direct,18,2,2,GA4+LeadApi已接入,43.2
2026-06-28,intelligent-video-analytics,95,81,89,53.1,0.6404,Direct,9,0,0,GA4+LeadApi已接入,75.9
2026-06-28,smart-agriculture-sensing,91,78,86,33.1,0.8023,Direct,8,0,0,GA4+LeadApi已接入,11.0
2026-06-28,indoor-outdoor-positioning,86,72,90,24.3,0.4889,Direct,3,0,0,GA4+LeadApi已接入,132.4
2026-06-28,smart-warehouse-management,64,49,58,28.9,0.569,Direct,8,0,0,GA4+LeadApi已接入,8.5
2026-06-28,smart-livestock-farming,56,42,57,25.4,0.5789,Direct,4,0,0,GA4+LeadApi已接入,0.0
2026-06-28,environment-monitoring,48,43,48,36.4,0.7292,Direct,3,0,0,GA4+LeadApi已接入,41.2
2026-06-28,building-energy-retrofit,38,32,37,27.7,0.7027,Direct,0,0,0,GA4+LeadApi已接入,26.7
2026-06-28,campus-safety-management,32,26,34,16.9,0.5588,Referral,1,0,0,GA4+LeadApi已接入,-17.9
2026-06-28,building-energy-management,29,26,29,39.2,0.7931,Direct,2,0,0,GA4+LeadApi已接入,-17.1
2026-06-28,hazard-response,26,21,26,35.8,0.8462,Direct,1,0,0,GA4+LeadApi已接入,-18.8
2026-06-21,voicecollectionanalysis,103,80,89,33.2,0.6742,Direct,3,1,0,GA4+LeadApi已接入,-8.8
2026-06-21,smart-agriculture-sensing,82,74,86,23.2,0.6977,Direct,6,0,0,GA4+LeadApi已接入,9.3
2026-06-21,conversational-voice-ai,81,68,80,55.2,0.7125,Direct,11,1,1,GA4+LeadApi已接入,-28.9
2026-06-21,smart-warehouse-management,59,51,59,27.5,0.7458,Direct,5,0,0,GA4+LeadApi已接入,9.3
2026-06-21,smart-livestock-farming,56,45,57,25.9,0.6491,Direct,4,0,0,GA4+LeadApi已接入,0.0
2026-06-21,intelligent-video-analytics,54,44,54,52.3,0.6296,Direct,5,0,0,GA4+LeadApi已接入,-3.6
2026-06-21,campus-safety-management,39,33,36,27.2,0.75,Referral,6,0,0,GA4+LeadApi已接入,18.2
2026-06-21,indoor-outdoor-positioning,37,32,37,39.6,0.6757,Direct,5,0,0,GA4+LeadApi已接入,-7.5
2026-06-21,building-energy-management,35,33,35,19.3,0.8857,Referral,1,0,0,GA4+LeadApi已接入,12.9
2026-06-21,environment-monitoring,34,31,32,46.4,0.7812,Direct,3,0,0,GA4+LeadApi已接入,-32.0
2026-06-21,hazard-response,32,31,36,21.8,0.6111,Direct,1,0,0,GA4+LeadApi已接入,-5.9
2026-06-21,building-energy-retrofit,30,24,34,13.3,0.7059,Direct,0,0,0,GA4+LeadApi已接入,-36.2
2026-06-14,conversational-voice-ai,114,98,119,35.9,0.7059,Direct,20,2,1,GA4+LeadApi已接入,
2026-06-14,voicecollectionanalysis,113,95,114,24.3,0.5877,Direct,9,1,0,GA4+LeadApi已接入,
2026-06-14,smart-agriculture-sensing,75,61,70,52.6,0.8,Direct,11,0,0,GA4+LeadApi已接入,
2026-06-14,smart-livestock-farming,56,39,59,41.4,0.5254,Direct,1,0,0,GA4+LeadApi已接入,
2026-06-14,intelligent-video-analytics,56,52,60,37.1,0.6667,Direct,5,0,0,GA4+LeadApi已接入,
2026-06-14,smart-warehouse-management,54,49,59,34.3,0.6102,Direct,20,0,0,GA4+LeadApi已接入,
2026-06-14,environment-monitoring,50,43,53,58.0,0.7736,Direct,5,0,0,GA4+LeadApi已接入,
2026-06-14,building-energy-retrofit,47,44,56,48.4,0.5893,Direct,1,0,0,GA4+LeadApi已接入,
2026-06-14,indoor-outdoor-positioning,40,35,41,37.8,0.6585,Direct,5,1,0,GA4+LeadApi已接入,
2026-06-14,hazard-response,34,35,38,33.1,0.6579,Direct,4,0,0,GA4+LeadApi已接入,
2026-06-14,campus-safety-management,33,32,34,35.0,0.7647,Direct,7,0,0,GA4+LeadApi已接入,
2026-06-14,building-energy-management,31,27,31,27.5,0.7097,Referral,1,0,0,GA4+LeadApi已接入,
