week_ending,solution_users,solution_pv,solution_sessions,total_site_pv,cta_clicks,cta_click_rate,key_events,key_event_conv_rate,fastest_growing_solution,top_traffic_solution,social_impressions,solution_wow_pct,form_submits
2026-06-07,614,751,728,11776,77,10.25,1,0.0014,,conversational-voice-ai,未接入,,1
2026-06-14,610,703,734,11328,89,12.66,1,0.0014,intelligent-video-analytics (+27.3%),conversational-voice-ai,未接入,-6.4,4
2026-06-21,546,642,635,11014,50,7.79,1,0.0016,campus-safety-management (+18.2%),voicecollectionanalysis,未接入,-8.7,2
2026-06-28,726,882,878,11803,76,8.62,2,0.0023,indoor-outdoor-positioning (+132.4%),voicecollectionanalysis,未接入,37.4,2
2026-07-05,708,811,836,11017,61,7.52,5,0.006,hazard-response (+96.2%),voicecollectionanalysis,未接入,-8.0,6
2026-07-12,681,831,814,12089,101,12.15,2,0.0025,smart-warehouse-management (+164.2%),voicecollectionanalysis,未接入,2.5,2
2026-07-19,713,806,835,12170,69,8.56,1,0.0012,building-energy-retrofit (+95.2%),voicecollectionanalysis,未接入,-3.0,1
2026-07-26,779,936,928,11680,89,9.51,7,0.0075,smart-warehouse-management (+78.7%),smart-warehouse-management,未接入,16.1,8
2026-08-02,1026,1259,1252,12082,91,7.23,1,0.0008,intelligent-video-analytics (+102.0%),smart-warehouse-management,未接入,34.5,1
2026-08-09,922,1046,1080,11997,113,10.8,0,0.0,building-energy-retrofit (+81.6%),voicecollectionanalysis,未接入,-16.9,0
2026-08-16,764,971,948,10559,103,10.61,3,0.0032,indoor-outdoor-positioning (+140.0%),intelligent-video-analytics,未接入,-7.2,4
2026-08-23,766,883,883,11896,84,9.51,3,0.0034,hazard-response (+76.0%),conversational-voice-ai,未接入,-9.1,4
2026-08-30,800,934,946,13245,102,10.92,0,0.0,smart-warehouse-management (+70.0%),voicecollectionanalysis,未接入,5.8,0
2026-09-06,954,1143,1090,22316,126,11.02,4,0.0037,conversational-voice-ai (+96.2%),conversational-voice-ai,未接入,22.4,4
2026-09-13,548,561,639,10127,46,8.2,2,0.0031,indoor-outdoor-positioning (+-13.6%),voicecollectionanalysis,未接入,-50.9,1
