week_ending,slug,page_pv,sessions,cta_clicks,form_submits,add_to_cart,pv_to_cta_rate,cta_to_form_rate,data_status
2026-09-20,voicecollectionanalysis,76,74,3,0,未接入,3.95,未接入,GA4+LeadApi已接入
2026-09-20,conversational-voice-ai,67,67,9,0,未接入,13.43,未接入,GA4+LeadApi已接入
2026-09-20,intelligent-video-analytics,52,37,4,0,未接入,7.69,未接入,GA4+LeadApi已接入
2026-09-20,smart-agriculture-sensing,44,43,6,0,未接入,13.64,未接入,GA4+LeadApi已接入
2026-09-20,environment-monitoring,32,37,1,0,未接入,3.12,未接入,GA4+LeadApi已接入
2026-09-20,smart-livestock-farming,29,30,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-09-20,campus-safety-management,26,22,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-09-20,indoor-outdoor-positioning,24,25,3,0,未接入,12.5,未接入,GA4+LeadApi已接入
2026-09-20,building-energy-management,23,24,2,0,未接入,8.7,未接入,GA4+LeadApi已接入
2026-09-20,hazard-response,17,19,7,0,未接入,41.18,未接入,GA4+LeadApi已接入
2026-09-20,smart-warehouse-management,16,20,3,0,未接入,18.75,未接入,GA4+LeadApi已接入
2026-09-20,building-energy-retrofit,11,12,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-09-13,voicecollectionanalysis,180,181,6,0,未接入,3.33,未接入,GA4+LeadApi已接入
2026-09-13,conversational-voice-ai,163,170,15,1,未接入,9.2,未接入,GA4+LeadApi已接入
2026-09-13,smart-agriculture-sensing,100,90,13,0,未接入,13.0,未接入,GA4+LeadApi已接入
2026-09-13,smart-livestock-farming,86,83,3,0,未接入,3.49,未接入,GA4+LeadApi已接入
2026-09-13,intelligent-video-analytics,71,66,7,0,未接入,9.86,未接入,GA4+LeadApi已接入
2026-09-13,smart-warehouse-management,68,75,6,0,未接入,8.82,未接入,GA4+LeadApi已接入
2026-09-13,indoor-outdoor-positioning,56,52,6,0,未接入,10.71,未接入,GA4+LeadApi已接入
2026-09-13,environment-monitoring,54,52,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-09-13,building-energy-management,44,47,0,0,未接入,0.0,未接入,GA4+LeadApi已接入
2026-09-13,campus-safety-management,41,44,3,0,未接入,7.32,未接入,GA4+LeadApi已接入
