week_ending,slug,form_submits
2025-09-28,smart-agriculture-sensing,1
2025-10-19,smart-agriculture-sensing,1
2025-11-02,building-energy-management,1
2025-11-09,campus-safety-management,1
2026-01-04,smart-agriculture-sensing,1
2026-01-25,voicecollectionanalysis,1
2026-02-01,smart-agriculture-sensing,1
2026-02-08,smart-agriculture-sensing,1
2026-04-05,hazard-response,1
2026-04-05,smart-agriculture-sensing,1
2026-04-12,smart-agriculture-sensing,1
2026-04-19,smart-agriculture-sensing,1
2026-04-26,voicecollectionanalysis,1
2026-05-03,voicecollectionanalysis,1
2026-05-17,conversational-voice-ai,1
2026-05-17,hazard-response,2
2026-05-17,smart-warehouse-management,1
2026-05-24,environment-monitoring,1
2026-05-31,building-energy-retrofit,1
2026-05-31,smart-agriculture-sensing,1
2026-06-07,voicecollectionanalysis,1
2026-06-14,conversational-voice-ai,2
2026-06-14,indoor-outdoor-positioning,1
2026-06-14,voicecollectionanalysis,1
2026-06-21,conversational-voice-ai,1
2026-06-21,voicecollectionanalysis,1
2026-06-28,conversational-voice-ai,2
2026-07-05,conversational-voice-ai,3
2026-07-05,smart-warehouse-management,1
2026-07-05,voicecollectionanalysis,2
2026-07-12,conversational-voice-ai,1
2026-07-12,indoor-outdoor-positioning,1
2026-07-19,environment-monitoring,1
2026-07-26,building-energy-management,1
2026-07-26,campus-safety-management,1
2026-07-26,conversational-voice-ai,3
2026-07-26,environment-monitoring,1
2026-07-26,indoor-outdoor-positioning,1
2026-07-26,voicecollectionanalysis,1
2026-08-02,environment-monitoring,1
2026-08-16,environment-monitoring,2
2026-08-16,intelligent-video-analytics,1
2026-08-16,voicecollectionanalysis,1
2026-08-23,building-energy-management,1
2026-08-23,campus-safety-management,1
2026-08-23,smart-agriculture-sensing,1
2026-08-23,smart-warehouse-management,1
2026-09-06,environment-monitoring,1
2026-09-06,intelligent-video-analytics,1
2026-09-06,smart-warehouse-management,1
2026-09-06,voicecollectionanalysis,1
2026-09-13,conversational-voice-ai,1
