Key,Date,Hostname,Page Path,Page Title,Channel Group,Device Category,Views,Active Users,Sessions,Engagement Rate,Bounce Rate,Avg Engagement Seconds,Conversions,Revenue,Week Start,Loaded At
2026-07-15|www.seeedstudio.com|/solutions-by-scenarios|Direct|desktop,2026-07-15,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,desktop,17,9,9,0.8888888888888888,0.1111111111111111,1.33,0,0.0,2026-07-13,2026-07-28 08:59:06
2026-07-19|www.seeedstudio.com|/solutions-by-scenarios|Direct|desktop,2026-07-19,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,desktop,12,6,6,1.0,0.0,45.33,0,0.0,2026-07-13,2026-07-28 08:59:06
2026-07-20|www.seeedstudio.com|/solutions-by-scenarios|Direct|desktop,2026-07-20,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,desktop,10,6,6,0.6666666666666666,0.3333333333333333,49.33,0,0.0,2026-07-20,2026-07-28 08:59:06
2026-06-30|www.seeedstudio.com|/solutions-by-scenarios|Direct|desktop,2026-06-30,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,desktop,8,4,4,1.0,0.0,5.75,0,0.0,2026-06-29,2026-07-28 08:59:06
2026-07-03|www.seeedstudio.com|/solutions-by-scenarios|Direct|desktop,2026-07-03,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,desktop,8,4,5,1.0,0.0,13.6,0,0.0,2026-06-29,2026-07-28 08:59:06
2026-07-12|www.seeedstudio.com|/solutions-by-scenarios|Direct|mobile,2026-07-12,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,mobile,8,4,4,1.0,0.0,52.25,0,0.0,2026-07-06,2026-07-28 08:59:06
2026-07-09|www.seeedstudio.com|/solutions-by-scenarios|Paid Search|desktop,2026-07-09,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Paid Search,desktop,6,3,3,1.0,0.0,23.67,0,0.0,2026-07-06,2026-07-28 08:59:06
2026-07-13|www.seeedstudio.com|/solutions-by-scenarios|Direct|desktop,2026-07-13,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,desktop,6,3,3,1.0,0.0,18.67,0,0.0,2026-07-13,2026-07-28 08:59:06
2026-07-25|www.seeedstudio.com|/solutions-by-scenarios|Referral|mobile,2026-07-25,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Referral,mobile,6,1,1,1.0,0.0,60.0,0,0.0,2026-07-20,2026-07-28 08:59:06
2026-07-16|www.seeedstudio.com|/solutions-by-scenarios|Direct|mobile,2026-07-16,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,mobile,5,2,2,1.0,0.0,86.0,0,0.0,2026-07-13,2026-07-28 08:59:06
2026-07-24|www.seeedstudio.com|/solutions-by-scenarios|Referral|desktop,2026-07-24,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Referral,desktop,5,2,3,1.0,0.0,2.33,0,0.0,2026-07-20,2026-07-28 08:59:06
2026-07-02|www.seeedstudio.com|/solutions-by-scenarios|Direct|desktop,2026-07-02,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Direct,desktop,4,1,1,1.0,0.0,34.0,0,0.0,2026-06-29,2026-07-28 08:59:06
2026-07-02|www.seeedstudio.com|/solutions-by-scenarios|Email|mobile,2026-07-02,www.seeedstudio.com,/solutions-by-scenarios,Solutions by Scenarios,Email,mobile,4,3,3,1.0,0.0,19.0,0,0.0,2026-06-29,2026-07-28 08:59:06
