最新周次,周范围,数据覆盖,solution名称,solution路径,页面访问量,CTA,表单提交(leads),一键加购,销售跟进数,页面->CTA转化率,CTA->表单转化率,访问层_page_view,滚动层_scroll,互动层_user_engagement,关键事件_keyEvents,GA会话数,滚动率_scroll/page_view,互动率_user_engagement/page_view,关键事件转化率_keyEvents/page_view,会话关键事件率_keyEvents/session_start,GA已接入漏斗事件,缺失埋点说明,数据状态
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,语音采集与分析,/solutions/voicecollectionanalysis,7896,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,7896,0,0,151,2919,0.00%,0.00%,1.91%,5.17%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智能仓储管理,/solutions/smart-warehouse-management,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智能视频分析,/solutions/intelligent-video-analytics,44,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,44,0,0,0,21,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,室内外定位,/solutions/indoor-outdoor-positioning,365,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,365,0,0,0,172,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,对话式语音 AI,/solutions/conversational-voice-ai,3616,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,3616,0,0,88,1529,0.00%,0.00%,2.43%,5.76%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,环境监测,/solutions/environment-monitoring,60,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,60,0,0,0,36,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,楼宇能源改造,/solutions/building-energy-retrofit,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智能畜牧养殖,/solutions/smart-livestock-farming,14,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,14,0,0,0,4,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,智慧农业传感,/solutions/smart-agriculture-sensing,19,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,19,0,0,0,4,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,校园安全管理,/solutions/campus-safety-management,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,应急响应,/solutions/hazard-response,6,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,6,0,0,0,3,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30 至 2026-07-05,楼宇能源管理,/solutions/building-energy-management,36,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,36,0,0,0,18,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,语音采集与分析,/solutions/voicecollectionanalysis,7749,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,7749,0,0,111,3373,0.00%,0.00%,1.43%,3.29%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,智能仓储管理,/solutions/smart-warehouse-management,0,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,0,0,0,0,0,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06 至 2026-07-12,智能视频分析,/solutions/intelligent-video-analytics,25,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,GA4未发现可验证加购事件,未接入CRM/销售跟进数据,GA4未发现可验证CTA事件,GA4未发现可验证表单事件,25,0,0,0,14,0.00%,0.00%,0.00%,0.00%,page_view / scroll / first_visit / session_start / user_engagement / keyEvents,未发现可验证的CTA点击、表单提交、加购、销售跟进事件；这些不能作为真实漏斗字段填数,GA4本周未命中该方案页事件
