周次,周范围,周期开始,周期结束,平台,粉丝数,发帖数,曝光/播放,互动数,互动率,点击数,网站会话数,网站用户数,转化数,转化率,最佳内容类型,适合继续投入,建议UTM渠道参数,数据状态,备注
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,GA4 Organic Social 合计,,,未接入平台后台数据,未接入平台后台数据,未接入平台后台数据,GA4仅能观察网站会话，未拆平台点击,307,295,12,3.91%,待接入平台后台数据后判断,待判断,utm_medium=social,GA4仅有社媒合计，未拆平台,平台拆分需后续内容链接统一添加 UTM
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,LinkedIn,,,,,,,,,,,,,utm_source=linkedin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,X,,,,,,,,,,,,,utm_source=x&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,FB,,,,,,,,,,,,,utm_source=facebook&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,小红书,,,,,,,,,,,,,utm_source=xiaohongshu&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-06-29,2026-06-29 至 2026-07-05,2026-06-30,2026-07-05,抖音,,,,,,,,,,,,,utm_source=douyin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,GA4 Organic Social 合计,,,未接入平台后台数据,未接入平台后台数据,未接入平台后台数据,GA4仅能观察网站会话，未拆平台点击,210,188,10,4.76%,待接入平台后台数据后判断,待判断,utm_medium=social,GA4仅有社媒合计，未拆平台,平台拆分需后续内容链接统一添加 UTM
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,LinkedIn,,,,,,,,,,,,,utm_source=linkedin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,X,,,,,,,,,,,,,utm_source=x&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,FB,,,,,,,,,,,,,utm_source=facebook&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,小红书,,,,,,,,,,,,,utm_source=xiaohongshu&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-06,2026-07-06 至 2026-07-12,2026-07-06,2026-07-12,抖音,,,,,,,,,,,,,utm_source=douyin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,GA4 Organic Social 合计,,,未接入平台后台数据,未接入平台后台数据,未接入平台后台数据,GA4仅能观察网站会话，未拆平台点击,13,12,0,0.00%,待接入平台后台数据后判断,待判断,utm_medium=social,GA4仅有社媒合计，未拆平台,平台拆分需后续内容链接统一添加 UTM
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,LinkedIn,,,,,,,,,,,,,utm_source=linkedin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,X,,,,,,,,,,,,,utm_source=x&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,FB,,,,,,,,,,,,,utm_source=facebook&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,小红书,,,,,,,,,,,,,utm_source=xiaohongshu&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-13,2026-07-13 至 2026-07-19,2026-07-13,2026-07-19,抖音,,,,,,,,,,,,,utm_source=douyin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,GA4 Organic Social 合计,,,未接入平台后台数据,未接入平台后台数据,未接入平台后台数据,GA4仅能观察网站会话，未拆平台点击,25,21,0,0.00%,待接入平台后台数据后判断,待判断,utm_medium=social,GA4仅有社媒合计，未拆平台,平台拆分需后续内容链接统一添加 UTM
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,LinkedIn,,,,,,,,,,,,,utm_source=linkedin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,X,,,,,,,,,,,,,utm_source=x&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,FB,,,,,,,,,,,,,utm_source=facebook&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,小红书,,,,,,,,,,,,,utm_source=xiaohongshu&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
2026-07-20,2026-07-20 至 2026-07-26,2026-07-20,2026-07-26,抖音,,,,,,,,,,,,,utm_source=douyin&utm_medium=social,待手动导入平台后台数据,用于判断内容应该发什么、发到哪里
