评论,点击数,判断结论,统计周期结束,转化数,分享|收藏,互动率,点赞,点击率,曝光|播放,发布日期,链接|素材,内容类型,统计周期开始,平台,下次动作
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,,,,2026-06-30,LinkedIn,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,,,,2026-06-30,X,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,,,,2026-06-30,FB,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,,,,2026-06-30,小红书,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-05,,,,,,,,,,2026-06-30,抖音,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,,,,2026-07-06,LinkedIn,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,,,,2026-07-06,X,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,,,,2026-07-06,FB,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,,,,2026-07-06,小红书,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-12,,,,,,,,,,2026-07-06,抖音,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,,,,2026-07-13,LinkedIn,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,,,,2026-07-13,X,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,,,,2026-07-13,FB,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,,,,2026-07-13,小红书,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-19,,,,,,,,,,2026-07-13,抖音,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,,,,2026-07-20,LinkedIn,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,,,,2026-07-20,X,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,,,,2026-07-20,FB,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,,,,2026-07-20,小红书,接入平台后台数据；所有社媒链接统一加UTM
,,未接入平台后台内容数据，无法判断单条内容表现,2026-07-26,,,,,,,,,,2026-07-20,抖音,接入平台后台数据；所有社媒链接统一加UTM
